,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
0,2021-06-14 04:00:00,79.73748,18.4,10.6,7.73,5.0,0.75,0.2,1.0,0.2
0,2021-06-14 04:05:00,79.16553,12.75,15.0,6.0,2.0,0.75,0.55579,0.66975,0.42
0,2021-06-14 04:10:00,78.00756,12.75,14.395,5.73,2.29,0.75,0.18,0.46382,0.41
0,2021-06-14 04:15:00,78.1744,12.75,13.8,6.0,2.29,0.75,0.99,0.8,0.44
0,2021-06-14 04:20:00,78.96083,12.75,13.8,6.98,2.77,0.8,0.21,0.68233,0.42
0,2021-06-14 04:25:00,78.33216,13.8,10.7,6.05942,5.73,0.8,0.18,0.72542,0.2
0,2021-06-14 04:30:00,79.07845,12.75,10.7,6.0,5.73,0.8,0.99,0.8,0.44
0,2021-06-14 04:35:00,79.12245,20.68,10.7,8.68,8.68,0.8,0.18,0.66961,0.2
0,2021-06-14 04:40:00,78.31107,18.4,10.6,7.73,5.73,0.8,0.18,0.65641,0.2
0,2021-06-14 04:45:00,79.2553,18.4,10.6,6.05942,5.73,0.8,0.34,0.9036,0.41
0,2021-06-14 04:50:00,79.27907,18.4,10.6,6.05942,5.73,0.8,1.0,0.8796,0.44
0,2021-06-14 04:55:00,79.85582,18.4,10.6,6.05942,5.73,0.8,0.18,0.68982,0.2
0,2021-06-14 05:00:00,79.12064,20.68,10.6,6.05942,5.73,0.8,0.18,0.78102,0.2
0,2021-06-14 05:05:00,87.79867,12.75,10.6,6.98,3.68,0.8,0.14,0.46527,0.2
0,2021-06-14 05:10:00,84.59541,12.75,10.6,8.68,5.73,0.8,0.14,0.38,0.18
0,2021-06-14 05:15:00,91.04026,17.55123,10.6,15.15,5.73,0.8,0.14,0.8,0.2
0,2021-06-14 05:20:00,81.72669,18.4,13.8,20.45,5.73,0.8,0.18,1.0,0.41
0,2021-06-14 05:25:00,94.13157,13.26877,10.7,16.68,5.88,0.8,0.14,0.8,0.2
0,2021-06-14 05:30:00,82.56976,13.0,10.7,10.47851,3.68,0.8,0.2,1.03,0.41
0,2021-06-14 05:35:00,78.31193,13.0,10.7,9.95,3.68,0.8,0.4274,1.8,0.41
0,2021-06-14 05:40:00,82.48126,13.0,14.0,13.73,4.88,0.8,1.0,2.76759,1.03
0,2021-06-14 05:45:00,100.05511,13.0,10.7,16.34746,5.73,0.8,0.2,1.03,0.2
0,2021-06-14 05:50:00,134.86637,13.0,10.6,6.98,2.29,0.75,0.03,0.18991,0.18
0,2021-06-14 05:55:00,115.10564,12.75,10.6,6.0,3.37,0.75,0.03,0.18991,0.18
0,2021-06-14 06:00:00,139.74927,12.75,10.6,6.0,2.29,0.75,0.03,0.18991,0.18
0,2021-06-14 06:05:00,85.0148,18.4,14.0,10.13366,2.29,0.75,0.14,0.73,0.18
0,2021-06-14 06:10:00,84.30913,18.4,10.6,16.9,1.98,0.75,0.99,1.94,1.0
0,2021-06-14 06:15:00,98.7652,18.4,10.6,20.16802,2.29,0.75,0.14,0.44991,0.18
0,2021-06-14 06:20:00,84.12677,18.4,14.12167,17.4,1.73,0.75,0.14,0.45,0.2
0,2021-06-14 06:25:00,137.04364,18.4,14.0,30.0,2.8,0.75,0.07579,0.19,0.18
0,2021-06-14 06:30:00,128.7672,18.4,13.95568,26.4,2.77,0.75,0.0478,0.18,0.18
0,2021-06-14 06:35:00,84.68453,18.4,14.10167,10.78676,1.98,0.75,0.14,0.73,0.18
0,2021-06-14 06:40:00,129.88588,18.4,14.73,30.0,2.78,0.75,1.0,1.8,0.42
0,2021-06-14 06:45:00,103.60581,18.4,14.0,20.16802,2.29,0.75,0.14,0.45,0.15
0,2021-06-14 06:50:00,138.0215,18.4,14.10167,28.21439,2.78,0.75,0.14,0.18,0.18
0,2021-06-14 06:55:00,135.49937,18.4,13.9275,26.08646,2.77,0.75,0.03,0.18,0.18
0,2021-06-14 07:00:00,299.6,18.4,14.18083,66.48146,2.29,0.75,0.19,0.73,0.18
