,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
0,2021-01-22 00:00:00,37.6606,3.69096,6.0,2.95,1.73,0.88,0.99,1.81,0.99
0,2021-01-22 00:05:00,39.15016,7.0,7.73,3.0,1.73,0.88,0.99,1.95,0.99
0,2021-01-22 00:10:00,45.20774,7.0,6.0,2.95,1.73,0.88,0.99,1.99,1.03
0,2021-01-22 00:15:00,39.15029,4.97857,6.0,2.62,1.73,0.88,0.99,1.99,1.03
0,2021-01-22 00:20:00,39.0,4.97857,6.0,2.62,1.73,0.88,0.81,1.8,0.44
0,2021-01-22 00:25:00,37.56847,5.45,6.0,2.78,1.73,0.88,0.81,1.8,0.79
0,2021-01-22 00:30:00,39.14986,4.93137,6.0,3.0,1.73,0.88,0.99,1.99,1.0
0,2021-01-22 00:35:00,39.15043,5.73,6.0,2.0,1.73,0.88,1.1,1.99,0.99
0,2021-01-22 00:40:00,39.0,5.73,6.0,2.0,1.7,0.88,1.1,1.99,0.99
0,2021-01-22 00:45:00,39.15,11.68,6.0,1.95,1.6,0.88,1.23,3.67,1.03
0,2021-01-22 00:50:00,39.15,11.68,6.0,1.95,1.6,0.88,1.1,1.99,0.99
0,2021-01-22 00:55:00,39.15,11.0,6.0,1.95,1.6,0.88,1.23,3.68,1.03
0,2021-01-22 01:00:00,38.96686,11.68,4.99,1.98,1.6,0.88,1.1,1.99,0.99
0,2021-01-22 01:05:00,43.89,4.74043,4.99,2.62,1.6,0.88,1.1,2.95,0.99
0,2021-01-22 01:10:00,39.15,7.98,4.99,2.62,1.6,0.88,1.1,2.0,0.99
0,2021-01-22 01:15:00,35.46998,13.48,6.0,2.0,1.6,0.88,1.1,2.0,0.99
0,2021-01-22 01:20:00,37.25491,11.68,4.99,2.0,1.6,0.88,1.23,3.68,1.03
0,2021-01-22 01:25:00,36.77417,11.0,4.99,2.0,1.6,0.88,1.0,2.0,0.99
0,2021-01-22 01:30:00,38.13321,11.0,6.0,2.0,1.6,0.88,1.0,2.04637,0.99
0,2021-01-22 01:35:00,38.72243,7.0,6.0,2.0,1.7,0.88,1.0,2.0,1.0
