,DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
0,2021-03-12 00:00:00,34.58828,14.73,13.8,4.98,3.68,0.88,0.14,1.03,0.42
0,2021-03-12 00:30:00,35.30848,11.68,11.0,3.0,2.29,0.88,0.14,1.03,0.42
0,2021-03-12 01:00:00,34.7367,11.68,11.0,1.75,2.0,0.88,0.14,1.03,0.41
0,2021-03-12 01:30:00,34.13982,11.68,11.0,1.48,1.73,0.87,0.14,1.03,0.41
0,2021-03-12 02:00:00,30.94672,11.0,11.0,1.49,1.73,0.87,0.2,1.95,0.44
0,2021-03-12 02:30:00,33.26578,10.98,11.0,1.73,1.73,0.87,0.14,1.4,0.41
0,2021-03-12 03:00:00,30.46022,11.68,11.0,1.73,1.95,0.87,0.21,1.95,0.44
0,2021-03-12 03:30:00,30.69515,11.68,11.56105,1.73,1.98,0.87,0.34,1.95,0.44
0,2021-03-12 04:00:00,31.25069,11.68,10.7,1.75,1.73,0.87,0.2,1.94,0.42
0,2021-03-12 04:30:00,33.53608,13.5,11.0,3.0,1.84,0.87,0.2,1.03,0.42
0,2021-03-12 05:00:00,34.41284,12.75,11.0,2.0,2.01,0.87,0.14,1.0,0.41
0,2021-03-12 05:30:00,34.15609,12.75,11.0,4.0,4.49,0.88,1.23,3.66,1.03
0,2021-03-12 06:00:00,38.9,13.8,10.7,7.73,8.49,0.88,1.23,3.66,1.1
0,2021-03-12 06:30:00,38.9,14.73,13.37195,8.68,8.49,0.88,3.68,3.68,1.0
0,2021-03-12 07:00:00,43.73009,15.0,14.44,8.68,8.49,0.88,0.4,1.03,0.44
0,2021-03-12 07:30:00,38.9,20.68,11.0,6.71731,7.85608,0.88,0.99,1.0736,0.99
0,2021-03-12 08:00:00,26.25,15.0,14.0,7.73,6.02035,0.88,6.0482,3.73,1.03
0,2021-03-12 08:30:00,26.25,15.0,11.0,6.0,5.0,0.88,3.73,5.42028,0.7
0,2021-03-12 09:00:00,25.00003,14.73,11.0,4.99,5.73,0.88,6.73,4.11116,0.99
0,2021-03-12 09:30:00,24.52,15.36,10.7,4.98,8.2199,0.88,3.73,7.09364,0.44
0,2021-03-12 10:00:00,24.52,14.73,10.99,3.0,4.27559,0.88,3.73,6.99,0.44
0,2021-03-12 10:30:00,26.25,15.36,13.8,3.68,3.62198,0.88,3.73,5.34185,0.41
0,2021-03-12 11:00:00,27.58008,20.62,13.8,2.78,3.8001,0.88,3.68,3.68,0.2
0,2021-03-12 11:30:00,34.48773,13.8,13.8,1.75,2.78,0.88,0.05,0.94,0.41
0,2021-03-12 12:00:00,36.62,15.0,13.79,2.0,3.54826,0.88,0.05,0.44,0.2
0,2021-03-12 12:30:00,35.20738,14.7,11.0,2.0,2.36,0.9,0.03,0.44,0.2
0,2021-03-12 13:00:00,38.41024,17.19,13.79,3.68,3.68,0.88,0.14,0.94,0.41
0,2021-03-12 13:30:00,36.62,16.10952,13.79,2.0,3.03117,0.88,0.14,0.94,0.2
0,2021-03-12 14:00:00,38.9,17.49,13.8,3.68,3.68,0.88,0.14,0.95,0.41
0,2021-03-12 14:30:00,43.73007,22.82286,13.81,3.68,8.68,0.9,0.14,1.0,0.44
0,2021-03-12 15:00:00,38.43449,17.79,7.73,2.78,5.50267,0.88,0.03,0.94,0.41
0,2021-03-12 15:30:00,30.2,15.0,7.5,1.49,3.68,0.88,3.68,0.62759,0.2
0,2021-03-12 16:00:00,30.2,15.0,5.5,2.78,8.49,0.88,3.62765,0.94,0.41
0,2021-03-12 16:30:00,33.88364,20.68,13.8,6.0,8.49,0.88,1.0,1.8,0.79
0,2021-03-12 17:00:00,38.91185,22.82286,10.98,8.88,8.68,0.88,0.05,0.44,0.2
0,2021-03-12 17:30:00,37.66049,20.68,11.78,9.5,8.68,0.88,1.1,2.01933,1.0
0,2021-03-12 18:00:00,59.26242,30.0,9.25,10.6886,13.84117,0.88,0.03,0.94,0.18
0,2021-03-12 18:30:00,108.03912,20.16,14.0,30.0,54.80218,0.88,0.03,0.44,0.15
0,2021-03-12 19:00:00,83.649,43.68,6.0,21.81002,52.05,0.88,0.14,0.95,0.18
0,2021-03-12 19:30:00,43.57,23.73,18.99,9.5,18.74341,0.88,0.05,0.44,0.15
0,2021-03-12 20:00:00,55.64028,36.36,14.0,9.5,26.0,0.9,0.05,0.44,0.18
0,2021-03-12 20:30:00,38.95,14.73,14.0,4.98,13.48794,0.88,0.03,0.44,0.15
0,2021-03-12 21:00:00,63.08183,20.0,11.0,9.5,15.0,0.88,0.03,0.44,0.15
0,2021-03-12 21:30:00,38.95,28.05299,20.8,7.73,8.49,0.89,0.34,1.03,0.18
0,2021-03-12 22:00:00,36.69,25.25997,18.98,7.73,8.49,0.88,0.21,1.03,0.18
0,2021-03-12 22:30:00,43.73009,30.0,14.0,9.5,8.49,0.9,0.2,0.95,0.2
0,2021-03-12 23:00:00,43.73009,30.0,14.73,9.5,8.49,0.9,0.4,1.03,0.41
0,2021-03-12 23:30:00,39.92387,26.06976,14.0,6.92976,8.49,0.9,0.2,0.95,0.2
