,DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
1,2021-03-12 00:00:00,98.6,14.73,13.8,4.98,3.68,0.88,0.14,1.03,0.42
1,2021-03-12 00:30:00,62.0,11.68,11.0,3.0,2.29,0.88,0.14,1.03,0.42
1,2021-03-12 01:00:00,62.0,11.68,11.0,1.75,2.0,0.88,0.14,1.03,0.41
1,2021-03-12 01:30:00,43.56664,11.68,11.0,1.48,1.73,0.87,0.14,1.03,0.41
1,2021-03-12 02:00:00,39.40606,11.0,11.0,1.49,1.73,0.87,0.2,1.95,0.44
1,2021-03-12 02:30:00,42.0,10.98,11.0,1.73,1.73,0.87,0.14,1.4,0.41
1,2021-03-12 03:00:00,38.02834,11.68,11.0,1.73,1.95,0.87,0.21,1.95,0.44
1,2021-03-12 03:30:00,34.21895,11.68,11.56105,1.73,1.98,0.87,0.34,1.95,0.44
1,2021-03-12 04:00:00,33.77945,11.68,10.7,1.75,1.73,0.87,0.2,1.94,0.42
1,2021-03-12 04:30:00,36.42962,13.5,11.0,3.0,1.84,0.87,0.2,1.03,0.42
1,2021-03-12 05:00:00,35.4118,12.75,11.0,2.0,2.01,0.87,0.14,1.0,0.41
1,2021-03-12 05:30:00,42.0,12.75,9.97,4.0,4.49,0.88,0.0,0.0,0.0
1,2021-03-12 06:00:00,56.18,13.8,9.6,7.73,8.49,0.88,0.0,0.0,0.0
1,2021-03-12 06:30:00,47.94805,14.73,12.37195,8.68,8.49,0.88,0.0,0.0,0.0
1,2021-03-12 07:00:00,46.33126,15.0,14.0,8.68,8.49,0.88,0.0,0.0,0.0
1,2021-03-12 07:30:00,42.0,20.68,10.01,6.71731,7.85608,0.88,0.0,0.0,0.0
1,2021-03-12 08:00:00,41.23252,15.0,12.97,7.73,6.02035,0.88,0.0,0.0,0.0
1,2021-03-12 08:30:00,33.92116,15.0,10.3,6.0,5.0,0.88,0.0,0.0,0.0
1,2021-03-12 09:00:00,34.46243,14.73,10.01,4.99,5.73,0.88,0.0,0.0,0.0
1,2021-03-12 09:30:00,33.14981,15.36,10.26,4.98,8.2199,0.88,0.0,0.0,0.0
1,2021-03-12 10:00:00,30.63284,14.73,10.99,3.0,4.27559,0.88,0.0,1.06028,0.44
1,2021-03-12 10:30:00,-3.1,15.36,13.8,3.68,3.62198,0.88,0.14,33.38356,0.41
1,2021-03-12 11:00:00,-357.61127,20.62,13.8,2.78,3.8001,0.88,0.14,385.46056,0.2
1,2021-03-12 11:30:00,-350.83307,13.8,13.8,1.75,2.78,0.88,0.0,411.46307,0.41
1,2021-03-12 12:00:00,-200.0,15.0,13.79,2.0,2.5175,0.88,0.05,299.13,0.2
1,2021-03-12 12:30:00,-40.0,14.7,11.0,2.0,2.36,0.9,0.0,70.68449,0.2
1,2021-03-12 13:00:00,-40.0,17.19,13.79,2.0,2.54725,0.88,0.14,71.03111,0.41
1,2021-03-12 13:30:00,-200.0,16.10952,13.79,2.0,1.98,0.88,0.14,230.55748,0.2
1,2021-03-12 14:00:00,13.06,17.49,13.8,1.45,2.63804,0.88,0.14,82.1415,0.41
1,2021-03-12 14:30:00,27.6211,22.82286,13.81,1.48,2.55191,0.9,0.0,1031.00223,0.44
1,2021-03-12 15:00:00,34.38689,17.79,7.73,2.78,5.50267,0.88,0.0,1035.27345,0.41
1,2021-03-12 15:30:00,31.42927,15.0,7.5,1.49,3.68,0.88,0.0,1031.82034,0.2
1,2021-03-12 16:00:00,40.49819,15.0,5.5,2.78,8.49,0.88,0.14,1031.72189,0.41
1,2021-03-12 16:30:00,24.9536,20.68,13.01,6.0,8.49,0.88,0.0,12.15169,0.0
1,2021-03-12 17:00:00,42.0,22.82286,10.78,8.88,8.68,0.88,0.05,0.0,0.0
1,2021-03-12 17:30:00,41.0,20.68,10.78,9.5,8.68,0.88,0.0,0.0,0.0
1,2021-03-12 18:00:00,61.5,30.0,9.25,10.6886,13.84117,0.88,0.0,0.03,0.18
1,2021-03-12 18:30:00,278.0,20.16,14.0,30.0,54.80218,0.88,0.03,0.0,0.15
1,2021-03-12 19:00:00,379.0,43.68,5.82,21.81002,52.05,0.88,0.14,0.0,0.0
1,2021-03-12 19:30:00,1015.13,23.73,18.99,9.5,18.74341,0.88,0.0,0.0,0.15
1,2021-03-12 20:00:00,15000.0,36.36,13.82,9.5,26.0,0.9,0.0,1051.98914,0.0
1,2021-03-12 20:30:00,34.82824,14.73,14.0,4.98,13.48794,0.88,0.0,1033.37849,0.15
1,2021-03-12 21:00:00,13044.44,20.0,11.0,9.5,15.0,0.88,0.0,0.0,0.15
1,2021-03-12 21:30:00,13044.44,28.05299,20.8,7.73,8.49,0.89,0.0,0.0,0.18
1,2021-03-12 22:00:00,39.85366,25.25997,18.98,7.73,8.49,0.88,0.0,0.0,0.18
1,2021-03-12 22:30:00,379.0,30.0,14.0,9.5,8.49,0.9,0.2,0.95,0.2
1,2021-03-12 23:00:00,13044.44,30.0,14.73,9.5,8.49,0.9,0.0,0.0,0.41
1,2021-03-12 23:30:00,10578.87,26.06976,14.0,6.92976,8.49,0.9,0.0,0.0,0.2
1,2021-03-13 00:00:00,13100.02,20.68,14,4.98,6.11471,0.9,0,0,0.41
