,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
36,2021-03-12 00:00:00,29.58459,13.5,11.0,4.98,3.68,0.88,0.03,1.0,0.41
36,2021-03-12 00:05:00,38.02963,11.68,11.0,3.0,2.29,0.88,0.03,1.03,0.41
36,2021-03-12 00:10:00,32.76977,11.68,11.0,2.95,2.29,0.87,0.03,1.03,0.41
36,2021-03-12 00:15:00,32.55284,11.68,13.8,2.0,2.29,0.88,0.03,1.0,0.41
36,2021-03-12 00:20:00,32.14408,10.98,11.0,2.0,2.29,0.88,0.03,1.0,0.41
36,2021-03-12 00:25:00,31.94823,10.98,11.0,2.0,2.29,0.88,0.03,0.95,0.41
36,2021-03-12 00:30:00,31.96087,10.98,11.0,2.0,2.29,0.88,0.03,0.95,0.31
36,2021-03-12 00:35:00,35.41028,12.75,11.0,1.73,2.0,0.88,0.03,1.0,0.41
36,2021-03-12 00:40:00,32.21763,11.68,11.0,1.73,2.0,0.88,0.03,1.0,0.41
36,2021-03-12 00:45:00,35.39271,11.68,11.0,1.73,2.0,0.87,0.14,1.03,0.42
36,2021-03-12 00:50:00,31.87368,11.68,11.0,1.73,2.0,0.88,0.03,1.0,0.41
36,2021-03-12 00:55:00,31.83452,12.75,11.0,1.73,2.0,0.87,0.14,1.03,0.41
36,2021-03-12 01:00:00,28.01359,13.0,11.0,1.73,2.0,0.88,0.14,1.03,0.41
36,2021-03-12 01:05:00,31.81115,11.68,11.0,1.6,1.73,0.87,0.14,1.03,0.42
36,2021-03-12 01:10:00,28.01359,11.68,11.0,1.49,1.73,0.87,0.14,1.03,0.41
36,2021-03-12 01:15:00,27.86735,11.08094,11.0,1.6,1.73,0.87,0.14,1.03,0.41
36,2021-03-12 01:20:00,27.94028,11.0,11.0,1.6,1.73,0.87,0.14,1.03,0.42
36,2021-03-12 01:25:00,26.96203,11.68,11.0,1.49,1.73,0.87,0.14,1.03,0.41
36,2021-03-12 01:30:00,26.96203,11.0,11.0,1.6,1.73,0.87,0.14,1.03,0.41
36,2021-03-12 01:35:00,28.01359,11.68,11.0,1.49,1.73,0.87,0.14,1.03,0.42
36,2021-03-12 01:40:00,28.08729,11.0,11.0,1.73,1.98,0.87,0.14,1.03,0.42
36,2021-03-12 01:45:00,28.08729,11.68,11.0,1.73,1.74755,0.87,0.14,1.03,0.42
36,2021-03-12 01:50:00,27.87668,12.75,11.0,1.73,1.98,0.87,0.14,1.03,0.41
36,2021-03-12 01:55:00,28.01359,11.0,11.0,1.73,1.73,0.87,0.14,1.03,0.42
36,2021-03-12 02:00:00,28.01359,11.68,11.0,1.73,1.73,0.87,0.14,1.81,0.42
36,2021-03-12 02:05:00,37.40223,11.01,11.0,4.98,1.95,0.9,0.03,0.18,0.0
36,2021-03-12 02:10:00,38.4121,11.71,11.0,4.98,1.73,0.9,0.03,0.18,0.0
36,2021-03-12 02:15:00,33.52204,11.71,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 02:20:00,32.52818,12.78,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 02:25:00,35.71607,11.03,11.0,4.98,1.73,0.9,0.03,0.18,0.0
36,2021-03-12 02:30:00,32.20642,11.71,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 02:35:00,35.83766,11.71,11.0,4.98,1.95,0.9,0.03,0.44,0.18
36,2021-03-12 02:40:00,35.3024,11.71,11.0,4.98,1.95,0.9,0.03,0.44,0.18
36,2021-03-12 02:45:00,32.33399,11.71,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 02:50:00,32.35361,11.71,11.0,4.98,1.98,0.9,0.03,0.44,0.18
36,2021-03-12 02:55:00,34.27955,13.03,12.61692,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 03:00:00,33.24759,11.71,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 03:05:00,35.30032,12.78,12.20222,4.98,1.98,0.9,0.03,0.44,0.18
36,2021-03-12 03:10:00,32.3438,12.78,11.0,4.98,1.95,0.9,0.03,0.44,0.18
36,2021-03-12 03:15:00,32.43963,12.78,11.0,4.98,1.98,0.9,0.03,0.44,0.18
36,2021-03-12 03:20:00,32.31172,12.78,11.0,4.98,2.0,0.9,0.03,0.44,0.18
36,2021-03-12 03:25:00,36.70344,12.78,11.0,4.98,1.98,0.9,0.03,0.44,0.0
36,2021-03-12 03:30:00,34.40746,12.78,13.20351,4.98,1.98,0.9,0.03,0.44,0.0
36,2021-03-12 03:35:00,32.42979,12.78,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 03:40:00,32.33399,12.78,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 03:45:00,32.16,12.78,10.6473,4.98,1.73,0.9,0.03,0.44,0.3573
36,2021-03-12 03:50:00,33.55155,12.78,11.0,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 03:55:00,32.41995,12.78,10.47,4.98,1.73,0.9,0.03,0.44,0.18
36,2021-03-12 04:00:00,35.30611,12.78,11.0,4.98,1.73,0.9,0.03,0.18,0.18
36,2021-03-12 04:05:00,34.81807,13.5,11.0,4.98,1.73,0.9,0.03,0.18,0.18
36,2021-03-12 04:10:00,32.3,11.68,11.0,3.832,1.73,0.87,0.14,0.44,0.42
36,2021-03-12 04:15:00,30.79226,12.75,11.0,2.0,1.73,0.87,0.14,0.44,0.42
36,2021-03-12 04:20:00,30.80094,12.75,11.0,2.0,1.73,0.87,0.14,0.44,0.41
36,2021-03-12 04:25:00,30.72452,12.75,11.0,2.0,1.73,0.87,0.14,0.44,0.42
36,2021-03-12 04:30:00,30.71508,12.75,11.0,2.0,1.77691,0.87,0.14,0.44,0.41
36,2021-03-12 04:35:00,28.73729,11.68,11.0,2.0,2.0,0.87,0.14,0.44,0.42
36,2021-03-12 04:40:00,28.66169,11.68,11.0,2.0,2.01,0.87,0.14,0.44,0.41
36,2021-03-12 04:45:00,29.70778,12.38778,11.0,2.0,2.0,0.87,0.14,1.03,0.41
36,2021-03-12 04:50:00,29.0,11.68,11.0,2.0,2.0,0.87,0.14,0.44,0.41
36,2021-03-12 04:55:00,30.94033,12.75,11.0,2.0,2.2261,0.87,0.2,1.03,0.42
36,2021-03-12 05:00:00,35.15698,13.5,11.0,2.70761,2.29,0.87,0.14,0.44,0.41
36,2021-03-12 05:05:00,33.71645,13.5,11.0,4.0,4.22,0.88,0.4,1.95,1.03
36,2021-03-12 05:10:00,35.65784,13.5,10.7,4.0,4.49,0.88,0.4,1.95,1.1
36,2021-03-12 05:15:00,35.65554,13.5,10.7,4.0,4.49,0.88,0.4,1.95,1.03
36,2021-03-12 05:20:00,34.19088,12.75,10.7,4.0,4.49,0.88,0.4,1.95,1.03
36,2021-03-12 05:25:00,42.0785,12.75,11.0,4.0,4.49,0.88,0.4,1.95,1.03
36,2021-03-12 05:30:00,43.01685,13.5,10.7,4.04,4.88,0.88,0.4,0.44,1.03
36,2021-03-12 05:35:00,34.06287,13.5,10.7,4.98,5.73,0.88,1.23,3.66,1.1
36,2021-03-12 05:40:00,33.78812,9.44812,10.7,4.98,7.73,0.88,1.23,2.0,1.1
36,2021-03-12 05:45:00,33.48933,9.14933,10.7,4.98,7.73,0.88,1.1,1.81,1.0
36,2021-03-12 05:50:00,33.2625,8.9225,10.7,5.0,7.67695,0.88,1.1,1.81,1.0
36,2021-03-12 05:55:00,34.33887,9.99887,10.7,5.73,8.38938,0.88,1.0,1.8,0.99
36,2021-03-12 06:00:00,48.46336,24.12336,10.7,7.73,8.49,0.88,0.99,1.8,0.89532
36,2021-03-12 06:05:00,32.53857,8.19857,14.0,6.0,7.02666,0.88,0.866,1.8,0.5
36,2021-03-12 06:10:00,35.38474,11.04474,14.0,7.73,8.49,0.88,0.4,1.03,0.44
36,2021-03-12 06:15:00,34.31431,9.97431,14.0,7.14151,8.20919,0.88,0.81,1.79683,0.44
36,2021-03-12 06:20:00,50.43992,21.01263,11.27,11.64263,8.49,0.88,0.4,1.03,0.44
36,2021-03-12 06:25:00,34.19694,9.85694,14.0,7.73,8.05482,0.88,0.81,1.74103,0.44
36,2021-03-12 06:30:00,41.81707,16.44,14.0,8.68,8.49,0.88,0.4,1.03,0.42
36,2021-03-12 06:35:00,48.18,20.68,11.0,9.95,8.49,0.88,0.4,1.03,0.44
36,2021-03-12 06:40:00,50.57021,18.4,14.5,14.98,8.49,0.88,0.4,1.03,0.5
36,2021-03-12 06:45:00,50.31029,20.68,8.86971,10.66791,8.49,0.88,0.99,1.94,0.99
36,2021-03-12 06:50:00,48.18,18.4,11.0,10.0,8.49,0.88,0.99,1.39498,0.5
36,2021-03-12 06:55:00,47.57309,15.36,11.0,8.68,8.49,0.88,0.34,1.03,0.42
36,2021-03-12 07:00:00,39.88545,15.0,11.0,8.68,8.49,0.88,0.99,1.8,0.79
36,2021-03-12 07:05:00,34.52368,10.18368,11.0,6.0,8.49,0.88,0.4,1.03,0.44
36,2021-03-12 07:10:00,34.00677,9.66677,11.0,5.71186,8.1458,0.88,0.4,1.03,0.44
36,2021-03-12 07:15:00,32.34211,8.00211,11.0,5.0,6.99611,0.88,0.0,0.18,0.0
36,2021-03-12 07:20:00,32.71368,12.99368,3.8,5.0,6.86579,0.88,0.03,0.18,0.0
36,2021-03-12 07:25:00,32.58898,7.50352,6.0,4.99,6.77469,0.88,0.03,0.18,0.0
36,2021-03-12 07:30:00,30.07,12.75,11.0,4.99,5.0,0.87,0.03,0.18,0.0
36,2021-03-12 07:35:00,33.62496,15.0,12.2354,6.87366,7.73,0.88,0.03,0.18,0.0
36,2021-03-12 07:40:00,34.60933,15.0,11.0,6.59633,8.49,0.88,0.03,0.18,0.0
36,2021-03-12 07:45:00,34.78524,15.0,11.17657,7.73,8.49,0.88,0.03,0.18,0.0
36,2021-03-12 07:50:00,34.78524,15.0,11.10264,7.73,8.49,0.88,0.0,0.18,0.0
36,2021-03-12 07:55:00,33.33111,16.01111,12.40492,6.0,7.73,0.88,0.0,0.18,0.0
36,2021-03-12 08:00:00,33.99352,16.67352,11.50287,7.73,8.22,0.88,0.0,0.18,0.0
36,2021-03-12 08:05:00,32.91125,15.59125,11.0,6.0,7.41941,0.88,0.0,0.18,0.18
36,2021-03-12 08:10:00,33.82705,16.50705,10.14,5.0,8.09686,0.88,0.03,0.18,0.18
36,2021-03-12 08:15:00,33.89448,16.57448,11.0,5.73,8.14674,0.88,0.0,0.18,0.18
36,2021-03-12 08:20:00,32.16423,14.84423,9.85,5.73,6.86683,0.88,0.0,0.18,0.18
36,2021-03-12 08:25:00,34.6569,17.3369,9.69,5.0,8.24981,0.88,0.03,0.44,0.44
36,2021-03-12 08:30:00,33.50376,15.36,12.83751,6.0,7.85771,0.88,0.03,0.44,0.18
36,2021-03-12 08:35:00,31.51964,13.5,11.0,4.99,5.73,0.88,0.03,0.44,0.18
36,2021-03-12 08:40:00,31.76968,15.0,11.0,4.99,5.0,0.88,0.03,0.18,0.18
36,2021-03-12 08:45:00,30.82,13.5,12.88,4.98,5.0,0.88,0.03,0.44,0.18
36,2021-03-12 08:50:00,30.82,13.5,12.88,5.0,5.73,0.88,0.0,0.18,0.18
36,2021-03-12 08:55:00,30.82,13.5,12.88,5.0,5.73,0.88,0.03,0.44,0.18
36,2021-03-12 09:00:00,30.82,13.5,11.0,4.99,5.73,0.88,0.03,0.18,0.18
36,2021-03-12 09:05:00,995.28,33.0,2.62829,944.97234,8.49,1.88,0.0,0.0,0.0
36,2021-03-12 09:10:00,40.02715,8.0,6.0,4.98,8.49,0.9,1.1,1.95,0.18
36,2021-03-12 09:15:00,35.47803,8.0,3.8,4.98,7.23826,0.9,1.1,1.95,0.42
36,2021-03-12 09:20:00,31.86064,8.0,3.8,4.0,4.90087,0.88,1.1,1.95,0.44
36,2021-03-12 09:25:00,31.11787,8.0,3.8,3.68,4.42093,0.88,1.1,1.95,0.41
36,2021-03-12 09:30:00,30.66192,8.0,6.0,3.68,4.12632,0.88,1.1,1.95,0.2
36,2021-03-12 09:35:00,30.33787,8.0,6.0,3.0,4.2179,0.88,1.1,1.95,0.44
36,2021-03-12 09:40:00,29.63208,8.0,6.0,3.13778,3.68,0.9,1.1,1.95,0.2
36,2021-03-12 09:45:00,30.41585,8.0,6.0,3.68,4.19754,0.9,1.23,3.66,1.78
36,2021-03-12 09:50:00,30.46519,8.0,3.8,3.70135,4.49,0.9,1.1,1.95,0.41
36,2021-03-12 09:55:00,27.6197,7.8997,6.0,3.68,3.68,0.9,1.1,1.95,0.2
36,2021-03-12 10:00:00,25.66727,5.864,6.0,3.68,1.73,0.9,1.1,1.95,0.2
36,2021-03-12 10:05:00,28.15352,11.94573,13.8,4.98,2.78,0.9,1.1,1.95,0.2
36,2021-03-12 10:10:00,29.29176,13.5,13.8,4.98,3.62198,0.9,1.1,1.95,0.41
36,2021-03-12 10:15:00,25.26,17.82,13.8,4.98,2.0,0.9,0.4,0.63401,0.41
36,2021-03-12 10:20:00,26.515,17.62,13.8,4.98,2.0,0.9,0.03,0.18,0.18
36,2021-03-12 10:25:00,26.58848,14.82848,13.8,4.98,2.0,0.9,0.03,0.18,0.18
36,2021-03-12 10:30:00,26.18795,9.181,14.0,4.98,1.7701,0.9,1.1,1.95,0.2
36,2021-03-12 10:35:00,30.25188,14.78237,11.0,4.98,4.49,0.9,1.1,1.95,0.41
36,2021-03-12 10:40:00,29.82115,14.58718,14.29,4.98,2.01,0.9,1.1,1.95,0.44
36,2021-03-12 10:45:00,29.69426,14.25684,13.83,9.5,2.78,0.9,1.1,1.95,0.18
36,2021-03-12 10:50:00,29.73742,14.29067,13.8,9.5,2.95,0.9,1.1,1.95,0.2
36,2021-03-12 10:55:00,29.3513,13.68786,13.8,9.5,3.08,0.9,1.1,1.95,0.18
36,2021-03-12 11:00:00,29.15858,13.58602,13.8,9.5,2.0502,0.9,1.1,1.95,0.18
36,2021-03-12 11:05:00,30.42857,15.02,13.8,9.5,4.64073,0.9,1.1,1.95,0.41
36,2021-03-12 11:10:00,30.07836,14.66935,13.8,4.98,3.68,0.9,1.1,1.95,0.2
