,DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
2,2021-06-14 00:00:00,27.34,25.11818,5.95,0.49,23.37,0.8,0.14,0.18,0.18
2,2021-06-14 00:30:00,27.34,11.68,10.6,0.49,5.0,0.8,0.03,0.38,0.18
2,2021-06-14 01:00:00,27.34,18.4,10.6,0.49,4.95,0.75,0.14,0.38,0.18
2,2021-06-14 01:30:00,27.34,18.4,5.95,0.49,5.07,0.8,0.99,1.81,0.44
2,2021-06-14 02:00:00,27.34,24.9,10.7,0.49,14.82383,0.8,0.2,1.03,0.41
2,2021-06-14 02:30:00,27.34,18.4,10.6,0.49,7.73,0.75,0.2,1.03,0.41
2,2021-06-14 03:00:00,54.7702,22.61849,10.6,0.49,15.0,0.75,0.14,0.38,0.18
2,2021-06-14 03:30:00,52.50293,15.71432,14.0,0.49,8.9,0.75,0.99,1.03,0.44
2,2021-06-14 04:00:00,53.31802,18.4,10.6,0.49,9.95,0.75,0.2,1.03,0.2
2,2021-06-14 04:30:00,55.12,12.75,14.0,1.45,1.73,0.8,0.55579,0.66975,0.42
2,2021-06-14 05:00:00,55.12,18.4,10.6,5.12058,1.73,0.8,0.18,0.61641,0.2
2,2021-06-14 05:30:00,55.12,12.75,10.7,1.45,1.73,0.8,0.18,0.46382,0.2
2,2021-06-14 06:00:00,34.45179,14.73,10.7,1.45,1.73,0.8,0.99,1.94,0.5
2,2021-06-14 06:30:00,54.6997,17.65,9.0,1.45,1.73,0.0,0.14,0.45,0.18
2,2021-06-14 07:00:00,51.84473,18.4,9.0,1.45,1.73,0.75,0.34,1.03,0.41
2,2021-06-14 07:30:00,52.77173,5.5,13.7,122.48339,26.0,0.8,0.5,1.03,0.41
2,2021-06-14 08:00:00,26.1062,51.8262,13.7,42.0,9.95,0.0,0.14,0.73,0.18
2,2021-06-14 08:30:00,25.49377,59.99,10.6,143.8389,28.9,0.75,0.18,1.0,0.18
2,2021-06-14 09:00:00,11.32,73.11949,10.6,154.8329,29.65,0.75,0.6,0.80991,0.42
2,2021-06-14 09:30:00,11.34,33.81,5.95,86.0,16.05,0.75,0.2,1.03,0.18
2,2021-06-14 10:00:00,11.34,18.4,10.6,20.45,5.0,0.75,0.18,0.8,0.18
2,2021-06-14 10:30:00,11.34,14.73,5.95,27.01351,8.68,0.8,0.34,1.03,0.41
2,2021-06-14 11:00:00,55.33,12.75,9.0,6.0,2.56077,0.75,0.34,0.95,0.41
2,2021-06-14 11:30:00,74.72578,18.4,9.0,13.73,5.88,0.75,1.0,3.4,0.42
2,2021-06-14 12:00:00,73.04064,25.0,9.0,31.33557,15.1,0.88,0.2,0.95,0.2
2,2021-06-14 12:30:00,60.47646,19.33315,9.3427,15.15,15.1,0.8,0.99,1.03,0.42
2,2021-06-14 13:00:00,75.12159,15.02525,9.0,14.98,9.5,0.8,1.0,1.41,0.7
2,2021-06-14 13:30:00,86.31472,30.3,9.0,14.98,9.55174,0.8,0.2,1.0,0.41
2,2021-06-14 14:00:00,87.64668,13.99,9.0,13.4,9.09004,0.8,0.18,0.95,0.41
2,2021-06-14 14:30:00,82.62482,12.75,14.0,9.5,4.88,0.8,0.2,0.8,0.41
2,2021-06-14 15:00:00,103.24665,12.75,9.0,8.68,3.68,0.8,0.14,0.8,0.41
2,2021-06-14 15:30:00,56.9435,33.81,9.0,24.74,4.49,0.8,0.18,0.8,0.18
2,2021-06-14 16:00:00,82.89825,33.81,9.0,68.55194,5.0,0.8,0.14,0.44,0.18
2,2021-06-14 16:30:00,81.95591,39.37591,9.0,240.07595,5.0,0.8,0.14,0.45,0.18
2,2021-06-14 17:00:00,93.91094,30.3,9.0,86.0,15.0,0.8,0.18,0.8,0.18
2,2021-06-14 17:30:00,104.06085,99.0,9.0,200.0,22.36711,0.8,0.14,0.45,0.18
2,2021-06-14 18:00:00,108.27014,150.99014,9.0,1155.64323,22.0,0.8,0.03,0.18,0.18
2,2021-06-14 18:30:00,-0.66,1000.0,9.0,6308.60334,26.0,0.0,0.03,0.19,0.18
2,2021-06-14 19:00:00,450.46,148.0,9.0,12500.0,26.0,0.95,0.18,0.44,0.18
2,2021-06-14 19:30:00,105.79847,24.9,9.0,1000.0,12.89,0.8,0.01,0.18,0.18
2,2021-06-14 20:00:00,11.34829,24.9,9.0,152.99216,8.57705,0.8,0.14,0.38,0.18
2,2021-06-14 20:30:00,13.46679,31.47425,14.0,1000.0,22.0,0.8,0.18,0.5,0.18
2,2021-06-14 21:00:00,11.34,8.68448,14.0,298.61705,3.69,0.8,0.2,0.45,0.41
2,2021-06-14 21:30:00,11.34,12.71053,10.6,200.0,2.37777,0.0,0.14,0.45,0.18
2,2021-06-14 22:00:00,11.34,8.79479,10.6,63.00277,4.49,0.0,0.14,0.8,0.2
2,2021-06-14 22:30:00,11.33514,8.17432,10.7,51.07308,8.49,0.0,0.14,0.18,0.18
2,2021-06-14 23:00:00,10.57078,8.0,7.73,72.9111,4.49,0.0,0.19,0.44,0.18
2,2021-06-14 23:30:00,3.31643,8.0,5.95,75.31325,8.49,0.0,1.0,3.4,0.44
