,DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
3,2021-06-14 00:00:00,145.11818,25.11818,5.95,108.84123,23.37,0.8,0.14,0.18,0.18
3,2021-06-14 00:30:00,131.68,11.68,10.6,9.95,5.0,0.8,0.03,0.38,0.18
3,2021-06-14 01:00:00,128.71966,18.4,10.6,8.68,4.95,0.75,0.14,0.38,0.18
3,2021-06-14 01:30:00,95.70662,18.4,5.95,9.95,5.07,0.8,0.99,1.81,0.44
3,2021-06-14 02:00:00,67.0,24.9,10.7,15.15,14.82383,0.8,0.2,1.03,0.41
3,2021-06-14 02:30:00,108.99375,18.4,10.6,9.95,7.73,0.75,0.2,1.03,0.41
3,2021-06-14 03:00:00,96.32083,22.61849,10.6,9.95,15.0,0.75,0.14,0.38,0.18
3,2021-06-14 03:30:00,85.79432,15.71432,15.0,9.95,8.9,0.75,0.99,1.03,0.44
3,2021-06-14 04:00:00,114.89,18.4,10.6,9.95,9.95,0.75,0.2,1.03,0.2
3,2021-06-14 04:30:00,70.6,12.75,15.0,8.42364,2.77,0.8,0.55579,0.66975,0.42
3,2021-06-14 05:00:00,70.6,18.4,10.6,7.73,7.73,0.8,0.18,0.61641,0.2
3,2021-06-14 05:30:00,70.6,12.75,10.7,6.76047,4.88,0.8,0.18,0.46382,0.2
3,2021-06-14 06:00:00,60.6,14.73,10.7,18.48797,5.73,0.8,0.99,1.94,0.5
3,2021-06-14 06:30:00,94.00179,18.4,10.6,26.4,2.84399,0.75,0.14,0.45,0.18
3,2021-06-14 07:00:00,72.78,18.4,10.6,14.98,2.29,0.75,0.34,1.03,0.41
3,2021-06-14 07:30:00,83.47,24.9,13.7,146.0,26.0,0.8,0.5,1.03,0.41
3,2021-06-14 08:00:00,102.26003,59.0,13.7,104.75273,9.95,0.75,0.14,0.73,0.18
3,2021-06-14 08:30:00,143.39464,59.99,10.6,143.8389,28.9,0.75,0.18,1.0,0.18
3,2021-06-14 09:00:00,151.49851,73.11949,10.6,154.8329,29.65,0.75,0.6,0.80991,0.42
3,2021-06-14 09:30:00,146.59778,33.81,5.95,113.64547,16.05,0.75,0.2,1.03,0.18
3,2021-06-14 10:00:00,112.45592,18.4,10.6,20.45,5.0,0.75,0.18,0.8,0.18
3,2021-06-14 10:30:00,90.6488,14.73,5.95,27.01351,8.68,0.8,0.34,1.03,0.41
3,2021-06-14 11:00:00,106.56476,12.75,12.36,6.0,4.57511,0.75,0.34,0.95,0.41
3,2021-06-14 11:30:00,82.73584,18.4,12.60333,13.73,5.88,0.75,1.0,3.4,0.42
3,2021-06-14 12:00:00,80.8703,25.0,10.7,31.33557,15.1,0.88,0.2,0.95,0.2
3,2021-06-14 12:30:00,66.7912,19.33315,15.0,15.15,15.1,0.8,0.99,1.03,0.42
3,2021-06-14 13:00:00,83.17403,15.02525,14.0,14.98,9.5,0.8,1.0,1.41,0.7
3,2021-06-14 13:30:00,96.05032,30.3,13.25994,14.98,9.55174,0.8,0.2,1.0,0.41
3,2021-06-14 14:00:00,96.79378,13.99,13.7,13.4,9.09004,0.8,0.18,0.95,0.41
3,2021-06-14 14:30:00,92.40885,12.75,14.0,9.5,4.88,0.8,0.2,0.8,0.41
3,2021-06-14 15:00:00,114.89,12.75,10.6,8.68,3.68,0.8,0.14,0.8,0.41
3,2021-06-14 15:30:00,62.73,33.81,14.0,24.74,4.49,0.8,0.18,0.8,0.18
3,2021-06-14 16:00:00,89.2218,33.81,10.78,68.55194,5.0,0.8,0.14,0.44,0.18
3,2021-06-14 16:30:00,89.12853,39.37591,17.52,240.07595,5.0,0.8,0.14,0.45,0.18
3,2021-06-14 17:00:00,105.03,30.3,14.0,86.0,15.0,0.8,0.18,0.8,0.18
3,2021-06-14 17:30:00,115.21133,99.0,20.0,200.0,22.36711,0.8,0.14,0.45,0.18
3,2021-06-14 18:00:00,122.52038,150.99014,20.9,1155.85118,22.0,0.8,0.03,0.18,0.18
3,2021-06-14 18:30:00,1629.35978,1446.13994,20.9,7430.61468,26.0,0.8,0.03,0.19,0.18
3,2021-06-14 19:00:00,507.55091,148.0,20.9,12500.0,26.0,0.95,0.18,0.44,0.18
3,2021-06-14 19:30:00,117.43216,24.9,20.0,1000.0,12.89,0.8,0.01,0.18,0.18
3,2021-06-14 20:00:00,83.46941,24.9,20.0,220.94865,8.57705,0.8,0.14,0.38,0.18
3,2021-06-14 20:30:00,145.0,31.47425,18.98,1124.91972,22.0,0.8,0.18,0.5,0.18
3,2021-06-14 21:00:00,111.44589,24.9,18.98,393.52656,3.69,0.8,0.2,0.45,0.41
3,2021-06-14 21:30:00,118.2996,24.9,10.6,200.0,9.6,0.8,0.14,0.45,0.18
3,2021-06-14 22:00:00,176.35193,24.9,10.6,135.53367,15.1,0.95,0.14,0.8,0.2
3,2021-06-14 22:30:00,88.85591,24.9,10.7,100.89,15.1,0.95,0.14,0.18,0.18
3,2021-06-14 23:00:00,98.67,24.9,7.73,120.5554,23.37,0.8,0.19,0.44,0.18
3,2021-06-14 23:30:00,128.24055,24.9,5.95,171.65702,15.0,0.8,1.0,3.4,0.44
