,SETTLEMENTDATE,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
1197,2021-06-14 00:00:00,79.37841,18.4,6.13,46.5,8.87492,0.8,0.03,0.18,0.18
1202,2021-06-14 00:05:00,118.00002,10.55002,10.6,9.95,5.0,0.8,0.03,0.38,0.18
1207,2021-06-14 00:10:00,118.00002,11.68,10.6,7.73,3.68,0.75,0.14,0.44,0.18
1212,2021-06-14 00:15:00,117.44,10.98,10.6,6.0,3.68,0.75,0.03,0.19,0.18
1217,2021-06-14 00:20:00,108.99056,7.87,10.6,6.0,2.29,0.75,0.03,0.38,0.18
1222,2021-06-14 00:25:00,88.9998,7.87,10.6,6.0,2.29,0.75,0.03,0.38,0.18
1227,2021-06-14 00:30:00,88.9998,12.75,10.6,6.0,2.29,0.75,0.14,0.8,0.18
1232,2021-06-14 00:35:00,165.50298,20.68,10.6,8.68,3.68,0.75,0.03,0.19,0.18
1237,2021-06-14 00:40:00,163.69767,18.4,10.7,9.52,4.95,0.75,0.14,0.38,0.18
1242,2021-06-14 00:45:00,161.89648,18.65,10.6,7.73,6.99,0.75,0.03,0.38,0.18
1247,2021-06-14 00:50:00,144.92,20.68,10.6,8.68,7.73,0.75,0.03,0.38,0.18
1252,2021-06-14 00:55:00,89.00006,18.4,10.6,7.73,5.0,0.75,0.03,0.19,0.18
1257,2021-06-14 01:00:00,79.25675,18.4,10.6,7.73,4.95,0.75,0.03,0.38,0.18
1262,2021-06-14 01:05:00,126.89258,20.68,6.0,9.95,5.73,0.8,0.14,0.44,0.18
1267,2021-06-14 01:10:00,78.90691,18.4,7.73011,9.95,5.07,0.8,0.14,0.44,0.18
1272,2021-06-14 01:15:00,69.78811,18.4,7.90167,9.95,5.07,0.8,0.14,0.44,0.18
1277,2021-06-14 01:20:00,82.30072,18.4,6.13,9.95,5.07,0.75,0.14,0.44,0.18
1282,2021-06-14 01:25:00,82.52953,18.4,6.13,9.95,5.07,0.8,0.14,0.45,0.18
1287,2021-06-14 01:30:00,66.99804,18.4,7.985,9.29,5.73,0.75,0.18,0.8,0.2
1292,2021-06-14 01:35:00,72.59547,24.9,10.7,15.15,13.73,0.8,0.2,1.0,0.41
1297,2021-06-14 01:40:00,65.40565,24.9,11.32667,15.0,13.73,0.8,0.2,1.03,0.41
1302,2021-06-14 01:45:00,74.99998,24.9,14.0,14.98,9.95,0.8,1.0,1.8,0.99
1307,2021-06-14 01:50:00,60.96249,24.9,10.7,14.98,10.54174,0.75,0.18,0.8,0.2
1312,2021-06-14 01:55:00,59.10877,24.9,10.7,14.98,9.5,0.75,0.18,0.8,0.2
1317,2021-06-14 02:00:00,58.57964,24.9,10.7,9.95,12.3738,0.8,0.34,1.03,0.42
1322,2021-06-14 02:05:00,114.43366,24.9,10.6,9.95,6.3484,0.75,0.18,0.95,0.2
1327,2021-06-14 02:10:00,92.04,18.4,10.7,6.0,5.0,0.75,0.18,1.0,0.41
1332,2021-06-14 02:15:00,65.5028,23.27145,10.7,23.14001,16.05,0.8,0.18,1.0,0.2
1337,2021-06-14 02:20:00,90.16951,18.4,10.7,13.73,13.49628,0.8,0.18,0.8,0.2
1342,2021-06-14 02:25:00,90.8472,18.4,10.6,8.68,8.68,0.75,0.18,0.95,0.2
1347,2021-06-14 02:30:00,87.44,18.4,10.6,7.73,8.68,0.75,0.18,0.8,0.18
1352,2021-06-14 02:35:00,91.55041,21.29775,10.7,9.95,13.73,0.75,0.03,0.18,0.18
1357,2021-06-14 02:40:00,95.44,18.4,10.7,9.29,8.68,0.75,0.18,0.8,0.18
1362,2021-06-14 02:45:00,89.43484,19.21005,10.6,9.95,12.4806,0.75,0.03,0.18,0.18
1367,2021-06-14 02:50:00,90.50376,18.4,10.6,7.73,8.49545,0.75,0.03,0.18,0.18
1372,2021-06-14 02:55:00,78.14524,18.4,10.6,8.68,8.68,0.75,0.03,0.18,0.18
1377,2021-06-14 03:00:00,66.26935,18.4,10.7,7.73,12.57575,0.75,0.03,0.18,0.18
1382,2021-06-14 03:05:00,113.0303,20.68,14.0,9.29,8.68,0.75,0.14,0.18,0.18
1387,2021-06-14 03:10:00,91.23771,17.59771,10.88,7.73,8.68,0.75,0.18,0.8,0.18
1392,2021-06-14 03:15:00,88.41368,16.34705,10.7,9.95,8.49545,0.75,0.03,0.18,0.18
1397,2021-06-14 03:20:00,95.44,16.60704,10.7,8.68,8.68,0.75,0.08668,0.19,0.18
1402,2021-06-14 03:25:00,94.17659,15.0,10.7,8.05497,8.68,0.75,0.18,0.8,0.18
1407,2021-06-14 03:30:00,95.44,15.0,10.7,8.05497,8.68,0.75,0.99,1.94,0.42
1412,2021-06-14 03:35:00,135.66126,18.4,10.6,9.95,9.5,0.75,0.18,0.8,0.18
1417,2021-06-14 03:40:00,172.60094,20.68,10.6,9.95,9.95,0.75,0.14,0.38,0.18
1422,2021-06-14 03:45:00,61.839,18.4,10.7,7.73,5.73,0.75,0.14,0.38,0.18
1427,2021-06-14 03:50:00,62.17007,18.4,10.6,7.73,4.88,0.75,0.14,0.44,0.18
1432,2021-06-14 03:55:00,87.44,18.4,10.6,6.0,4.88,0.75,0.49,1.03,0.42
1437,2021-06-14 04:00:00,71.35365,18.4,10.6,7.73,5.0,0.75,0.2,1.0,0.2
2,2021-06-14 04:05:00,73.66763,12.75,15.0,6.0,2.0,0.75,0.55579,0.66975,0.42
7,2021-06-14 04:10:00,73.88112,12.75,14.395,5.73,2.29,0.75,0.18,0.46382,0.41
12,2021-06-14 04:15:00,73.49955,12.75,13.8,6.0,2.29,0.75,0.99,0.8,0.44
17,2021-06-14 04:20:00,73.5077,12.75,13.8,6.98,2.77,0.8,0.21,0.68233,0.42
22,2021-06-14 04:25:00,73.53774,13.8,10.7,6.05942,5.73,0.8,0.18,0.72542,0.2
27,2021-06-14 04:30:00,73.53719,12.75,10.7,6.0,5.73,0.8,0.99,0.8,0.44
32,2021-06-14 04:35:00,73.1558,20.68,10.7,8.68,8.68,0.8,0.18,0.66961,0.2
37,2021-06-14 04:40:00,73.53423,18.4,10.6,7.73,5.73,0.8,0.18,0.65641,0.2
42,2021-06-14 04:45:00,72.40257,18.4,10.6,6.05942,5.73,0.8,0.34,0.9036,0.41
47,2021-06-14 04:50:00,72.39773,18.4,10.6,6.05942,5.73,0.8,1.0,0.8796,0.44
52,2021-06-14 04:55:00,73.37922,18.4,10.6,6.63257,5.73,0.8,0.18,0.68982,0.2
57,2021-06-14 05:00:00,72.37734,20.68,10.6,6.05942,5.73,0.8,0.18,0.78102,0.2
62,2021-06-14 05:05:00,80.3628,12.75,10.6,6.98,3.68,0.8,0.14,0.46527,0.2
67,2021-06-14 05:10:00,73.18869,12.75,10.6,8.88,5.73,0.8,0.14,0.38,0.18
72,2021-06-14 05:15:00,78.55127,17.88581,10.6,15.56397,5.73,0.8,0.14,0.8,0.2
77,2021-06-14 05:20:00,68.94739,18.4,13.8,20.45,5.73,0.8,0.18,1.0,0.41
82,2021-06-14 05:25:00,82.05506,13.8,10.7,17.33729,7.73,0.8,0.14,0.45,0.2
87,2021-06-14 05:30:00,71.84635,14.63329,10.7,13.73,3.68,0.8,0.2,1.03,0.41
92,2021-06-14 05:35:00,68.17445,13.0,10.7,10.84686,3.68,0.8,0.21,1.4,0.41
97,2021-06-14 05:40:00,68.53996,13.0,14.0,13.73,3.7524,0.8,1.0,2.0,1.03
102,2021-06-14 05:45:00,81.55461,13.0,10.7,16.34746,5.73,0.8,0.2,1.03,0.2
107,2021-06-14 05:50:00,107.40001,13.0,10.6,6.98,2.29,0.75,0.03,0.18991,0.18
112,2021-06-14 05:55:00,118.0,13.0,10.6,6.0,2.29,0.75,0.03,0.18991,0.18
117,2021-06-14 06:00:00,104.87485,12.75,10.6,6.0,2.29,0.75,0.03,0.18991,0.18
122,2021-06-14 06:05:00,69.96547,18.4,14.0,13.73,2.77,0.75,0.14,0.45,0.18
127,2021-06-14 06:10:00,98.84476,21.39603,10.6,29.39603,3.68,0.75,0.18,1.0,0.18
132,2021-06-14 06:15:00,96.16104,18.4,10.6,26.4,2.95,0.75,0.14,0.44991,0.18
137,2021-06-14 06:20:00,74.14793,18.4,14.0,20.45,2.29,0.75,0.07579,0.18,0.18
142,2021-06-14 06:25:00,95.44,18.4,14.0,30.0,2.8,0.75,0.07579,0.19,0.18
147,2021-06-14 06:30:00,89.33856,18.4,13.95568,26.4,2.77,0.75,0.0478,0.18,0.18
152,2021-06-14 06:35:00,62.0,18.4,14.10167,11.03427,1.98,0.75,0.14,0.73,0.18
157,2021-06-14 06:40:00,89.0,18.4,14.73,30.0,5.0,0.75,0.99,1.4,0.19
162,2021-06-14 06:45:00,87.44,18.4,14.0,20.45,2.29521,0.75,0.14,0.44991,0.15
167,2021-06-14 06:50:00,131.44265,30.3,14.10167,43.3,4.88,0.75,0.14,0.18,0.18
172,2021-06-14 06:55:00,89.0,18.4,13.9,30.0,2.78,0.75,0.03,0.18,0.15
177,2021-06-14 07:00:00,105.91017,24.9,14.18083,92.3208,2.29,0.75,0.19,0.73,0.18
182,2021-06-14 07:05:00,63.34486,24.9,20.8,52.47356,26.0,0.75,0.21,1.03,0.18
187,2021-06-14 07:10:00,61.81811,32.0,20.8,60.03485,9.95,0.75,0.14,0.18991,0.15
