,SETTLEMENTDATE,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
1198,2021-06-14 00:00:00,27.34,18.4,6.13,0.49,8.87492,0.8,0.03,0.18,0.18
1203,2021-06-14 00:05:00,27.34,10.55002,10.6,0.49,5.0,0.8,0.03,0.38,0.18
1208,2021-06-14 00:10:00,27.34,11.68,10.6,0.49,3.68,0.75,0.14,0.44,0.18
1213,2021-06-14 00:15:00,27.34,10.98,10.6,0.49,3.68,0.75,0.03,0.19,0.18
1218,2021-06-14 00:20:00,27.34,7.87,10.6,0.49,2.29,0.75,0.03,0.38,0.18
1223,2021-06-14 00:25:00,27.34,7.87,10.6,0.49,2.29,0.75,0.03,0.38,0.18
1228,2021-06-14 00:30:00,27.34,12.75,10.6,0.49,2.29,0.75,0.14,0.8,0.18
1233,2021-06-14 00:35:00,27.34,20.68,10.6,0.49,3.68,0.75,0.03,0.19,0.18
1238,2021-06-14 00:40:00,27.34,18.4,10.7,0.49,4.95,0.75,0.14,0.38,0.18
1243,2021-06-14 00:45:00,27.34,18.65,10.6,0.49,6.99,0.75,0.03,0.38,0.18
1248,2021-06-14 00:50:00,27.34,20.68,10.6,0.49,7.73,0.75,0.03,0.38,0.18
1253,2021-06-14 00:55:00,27.34,18.4,10.6,0.49,5.0,0.75,0.03,0.19,0.18
1258,2021-06-14 01:00:00,27.34,18.4,10.6,0.49,4.95,0.75,0.03,0.38,0.18
1263,2021-06-14 01:05:00,54.612,20.68,6.0,0.49,5.73,0.8,0.14,0.44,0.18
1268,2021-06-14 01:10:00,54.612,18.4,7.73011,0.49,5.07,0.8,0.14,0.44,0.18
1273,2021-06-14 01:15:00,54.612,18.4,7.90167,0.49,5.07,0.8,0.14,0.44,0.18
1278,2021-06-14 01:20:00,54.612,18.4,6.13,0.49,5.07,0.75,0.14,0.44,0.18
1283,2021-06-14 01:25:00,54.59166,18.4,6.13,0.49,5.07,0.8,0.14,0.45,0.18
1288,2021-06-14 01:30:00,53.81031,18.4,7.985,3.31644,5.73,0.75,0.18,0.8,0.2
1293,2021-06-14 01:35:00,27.34,24.9,10.7,0.49,13.73,0.8,0.2,1.0,0.41
