,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
1,NSW1,2021-01-22 00:00:00,7536,7419,7303
387,QLD1,2021-01-22 00:00:00,6125,6030,5933
773,SA1,2021-01-22 00:00:00,1739,1662,1584
1159,TAS1,2021-01-22 00:00:00,1100,1082,1065
1545,VIC1,2021-01-22 00:00:00,5311,5153,4995
0,NSW1,2021-01-22 00:30:00,7360,7228,7097
432,QLD1,2021-01-22 00:30:00,5959,5873,5786
864,SA1,2021-01-22 00:30:00,1670,1603,1537
1296,TAS1,2021-01-22 00:30:00,1080,1064,1050
1728,VIC1,2021-01-22 00:30:00,5071,4954,4837
0,NSW1,2021-01-22 01:00:00,7123,6996,6869
431,QLD1,2021-01-22 01:00:00,5797,5713,5630
862,SA1,2021-01-22 01:00:00,1630,1565,1500
1293,TAS1,2021-01-22 01:00:00,1075,1060,1045
1724,VIC1,2021-01-22 01:00:00,4906,4792,4679
0,NSW1,2021-01-22 01:30:00,6858,6736,6613
430,QLD1,2021-01-22 01:30:00,5733,5650,5568
860,SA1,2021-01-22 01:30:00,1543,1481,1419
1290,TAS1,2021-01-22 01:30:00,1072,1057,1043
1720,VIC1,2021-01-22 01:30:00,4796,4685,4575
0,NSW1,2021-01-22 02:00:00,6635,6516,6398
429,QLD1,2021-01-22 02:00:00,5737,5654,5572
858,SA1,2021-01-22 02:00:00,1479,1420,1361
1287,TAS1,2021-01-22 02:00:00,1056,1042,1027
1716,VIC1,2021-01-22 02:00:00,4632,4525,4418
0,NSW1,2021-01-22 02:30:00,6459,6343,6228
428,QLD1,2021-01-22 02:30:00,5661,5580,5498
856,SA1,2021-01-22 02:30:00,1442,1384,1326
1284,TAS1,2021-01-22 02:30:00,1051,1037,1023
1712,VIC1,2021-01-22 02:30:00,4568,4462,4357
0,NSW1,2021-01-22 03:00:00,6401,6286,6172
427,QLD1,2021-01-22 03:00:00,5631,5549,5468
854,SA1,2021-01-22 03:00:00,1411,1354,1298
1281,TAS1,2021-01-22 03:00:00,1052,1038,1024
1708,VIC1,2021-01-22 03:00:00,4510,4406,4302
0,NSW1,2021-01-22 03:30:00,6385,6271,6157
426,QLD1,2021-01-22 03:30:00,5629,5548,5466
852,SA1,2021-01-22 03:30:00,1392,1336,1280
1278,TAS1,2021-01-22 03:30:00,1045,1030,1016
1704,VIC1,2021-01-22 03:30:00,4507,4403,4298
0,NSW1,2021-01-22 04:00:00,6451,6336,6221
425,QLD1,2021-01-22 04:00:00,5616,5534,5454
850,SA1,2021-01-22 04:00:00,1376,1321,1266
1275,TAS1,2021-01-22 04:00:00,1064,1050,1034
1700,VIC1,2021-01-22 04:00:00,4523,4418,4314
0,NSW1,2021-01-22 04:30:00,6610,6492,6374
424,QLD1,2021-01-22 04:30:00,5640,5558,5476
848,SA1,2021-01-22 04:30:00,1371,1316,1261
1272,TAS1,2021-01-22 04:30:00,1065,1050,1036
1696,VIC1,2021-01-22 04:30:00,4609,4503,4396
0,NSW1,2021-01-22 05:00:00,6752,6631,6510
423,QLD1,2021-01-22 05:00:00,5719,5635,5553
846,SA1,2021-01-22 05:00:00,1367,1312,1257
1269,TAS1,2021-01-22 05:00:00,1076,1061,1045
1692,VIC1,2021-01-22 05:00:00,4687,4579,4470
0,NSW1,2021-01-22 05:30:00,7097,6970,6843
422,QLD1,2021-01-22 05:30:00,5858,5774,5689
844,SA1,2021-01-22 05:30:00,1399,1343,1287
1266,TAS1,2021-01-22 05:30:00,1112,1095,1078
1688,VIC1,2021-01-22 05:30:00,4956,4842,4727
0,NSW1,2021-01-22 06:00:00,7417,7285,7152
421,QLD1,2021-01-22 06:00:00,5921,5835,5750
842,SA1,2021-01-22 06:00:00,1459,1400,1342
1263,TAS1,2021-01-22 06:00:00,1128,1110,1092
1684,VIC1,2021-01-22 06:00:00,5148,5029,4910
0,NSW1,2021-01-22 06:30:00,7610,7474,7338
420,QLD1,2021-01-22 06:30:00,6056,5968,5881
840,SA1,2021-01-22 06:30:00,1489,1430,1370
1260,TAS1,2021-01-22 06:30:00,1163,1143,1125
1680,VIC1,2021-01-22 06:30:00,5303,5192,5081
0,NSW1,2021-01-22 07:00:00,7653,7516,7379
419,QLD1,2021-01-22 07:00:00,6158,6070,5980
838,SA1,2021-01-22 07:00:00,1539,1478,1416
1257,TAS1,2021-01-22 07:00:00,1200,1180,1158
1676,VIC1,2021-01-22 07:00:00,5443,5329,5215
0,NSW1,2021-01-22 07:30:00,7857,7716,7576
418,QLD1,2021-01-22 07:30:00,6314,6222,6131
836,SA1,2021-01-22 07:30:00,1519,1458,1397
