,REGIONID,DATETIME,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
0,NSW1,2021/06/14 00:00:00,199.55544,156.12398,215.74254,144.39588,299.6,98.79862,299.6,198.31027,160.12556,205.42363,145.48339,250.01,116.17991,299.6,186.80313,175.83646,194.10639,164.86536,205.42363,151.56642,250.01,109.86591,299.6,83.0809,195.12349,156.12398,215.74254,149.90351,299.6,105.97035,299.6,176.10123,176.10123,174.2634,176.10123,174.24155,176.10123,186.80313,238.94608
1,QLD1,2021/06/14 00:00:00,199.84,158.70389,214.44221,149.0,293.38465,102.71758,293.38465,199.84,162.77159,204.18548,149.0,244.82342,120.78832,293.38465,189.89,178.74211,195.8423,167.58971,204.18548,154.07102,250.36651,111.68142,300.02722,85.72998,199.84,156.34661,224.30021,149.0,318.60073,100.73002,2307.42008,179.01125,179.01125,177.14306,179.01125,177.12085,179.01125,189.89,235.74003
2,SA1,2021/06/14 00:00:00,144.78048,118.00002,152.58377,110.39912,206.53096,87.44,206.53096,146.72165,118.00002,152.58377,108.01569,188.24337,89.0,246.81957,139.25762,126.09441,147.81,118.00002,161.59521,100.63724,178.88501,89.0,224.63223,71.04583,141.56503,118.00002,152.58377,114.61002,206.53096,89.0,207.73938,127.9297,127.9297,127.84154,127.9297,127.82551,127.9297,138.38712,210.52008
3,TAS1,2021/06/14 00:00:00,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,55.29752,27.34,55.32,27.34,140.71987,27.34
4,VIC1,2021/06/14 00:00:00,164.44589,132.48492,174.32,122.53259,237.33277,89.70302,237.33277,166.65072,133.25298,174.32,119.88721,216.31779,93.87339,285.29469,155.45347,144.9,163.11798,137.19734,174.32,124.9,202.00811,95.06,249.32056,73.2881,160.79369,132.48492,174.32,127.2063,237.33277,94.3845,237.33277,145.11818,145.11818,145.01818,145.11818,145.0,145.11818,156.98065,206.74488
0,NSW1,2021/06/14 00:30:00,185.85237,143.65927,209.75122,137.53372,277.94,94.95091,299.6,184.4636,145.93964,197.06168,142.58328,235.96628,106.66119,299.6,156.64204,155.37946,184.4636,147.43821,197.06168,142.98528,232.4626,100.75605,299.6,79.13846,181.71234,145.83181,209.75122,120.60312,270.88045,98.83909,299.6,155.37946,155.37946,155.37946,155.37946,155.37946,155.37946,184.4636,235.96628
1,QLD1,2021/06/14 00:30:00,189.89,149.0,211.12252,143.90759,275.02841,100.73003,295.0,189.89,150.23277,199.84,149.0,235.74003,111.6043,295.0,161.25,159.95029,189.89,151.77543,199.84,149.0,235.74003,103.72001,303.82398,83.3248,189.89,149.0,220.84685,121.39159,295.0,95.84252,2307.42008,159.95029,159.95029,159.95029,159.95029,159.95029,159.95029,189.89,235.74003
2,SA1,2021/06/14 00:30:00,136.6546,111.94732,151.8382,108.21669,195.3521,87.44,209.87852,138.3021,111.53534,149.76422,107.91244,181.07183,87.44,255.32616,119.02914,117.39156,142.35592,109.47186,157.99513,98.92722,169.56852,87.44,228.77254,70.39785,133.6105,113.64029,151.8382,95.44,190.39025,87.44,209.87852,118.00002,118.00002,118.00002,118.00002,118.00002,118.00002,138.15108,211.86116
3,TAS1,2021/06/14 00:30:00,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,55.29752,27.34,55.32,27.34,141.70738,27.34
4,VIC1,2021/06/14 00:30:00,155.97609,124.13684,174.32,120.0,224.27675,87.76072,240.95401,157.85652,123.68,171.93893,119.66262,207.88208,88.64396,293.13082,132.75,131.68,157.85652,124.95,170.28219,120.0,191.3099,89.62385,253.90311,71.76,152.50158,126.01415,174.32,105.22783,218.58023,89.62385,240.95401,131.68,131.68,131.68,131.68,131.68,131.68,157.68415,207.88208
0,NSW1,2021/06/14 01:00:00,201.84557,118.61504,203.35674,104.3097,299.6,92.35197,299.6,191.79572,126.69669,196.94563,109.63737,250.01,98.5214,299.6,190.36903,147.15839,191.79572,146.06025,196.94563,117.39939,247.29811,99.13959,299.6,72.67121,198.31027,118.61504,202.74355,104.3097,280.61979,92.35197,299.6,148.26358,148.26358,148.26358,148.26358,148.26358,148.26358,191.79572,250.01
1,QLD1,2021/06/14 01:00:00,199.84,121.0024,199.84,106.40914,287.91631,96.35665,287.91631,189.89,129.24671,194.98875,111.84403,240.2602,100.73002,287.91631,189.89,149.0,189.89,149.0,194.98875,119.76229,243.02147,100.73002,295.0,74.69186,199.84,118.31657,206.82416,101.74484,295.0,86.79551,2307.42008,149.0,149.0,149.0,149.0,149.0,149.0,189.89,240.2602
2,SA1,2021/06/14 01:00:00,156.38579,95.44,156.38579,89.0,222.25199,87.44,222.25199,152.29647,99.42006,156.38579,89.00006,206.2888,86.00068,267.14427,152.30543,114.61607,157.59467,110.72775,167.35819,89.00006,191.08658,87.44,242.43586,67.69695,154.45632,95.44,156.38579,89.0,208.17192,87.44,222.25199,117.44,117.44,117.44,117.44,117.44,117.44,152.29647,238.5432
3,TAS1,2021/06/14 01:00:00,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,54.86873,27.34,55.32,27.34,152.56195,27.34
